ClientID,Years_In_Business,Annual_Revenue_INR_Cr,Loan_Outstanding_INR_Cr,Debt_to_Equity_Ratio,Interest_Coverage_Ratio,Current_Ratio,DPD_Instances_Last_12M,Credit_Rating_Score,New_Loan_Requests_Last_2Y,Collateral_Coverage_Pct,Business_Sector,Company_Size,Loan_Type,Repayment_Track,Geographic_Region
TAC011791,7.35,3707.81,196.44,3.24,9.47,0.85,0.0,7.25,3,110.48,Healthcare,Small,Term Loan,Satisfactory,West
TAC002036,20.71,765.38,349.29,5.53,,0.37,4.0,3.55,5,203.57,Healthcare,Medium,Working Capital,Watchlist,North
TAC008728,1.0,607.78,82.69,3.75,5.52,2.03,7.0,8.6,0,111.07,Services,Small,Working Capital,Excellent,West
TAC007765,2.52,751.05,166.79,7.24,14.68,1.43,6.0,6.56,0,182.13,Real Estate,Large,Term Loan,Good,South
TAC003327,1.0,904.69,117.65,2.97,10.07,2.78,6.0,10.0,1,96.64,Services,Small,Project Finance,Satisfactory,East
TAC014597,3.02,662.54,284.4,4.5,6.22,1.26,5.0,1.93,3,122.61,Services,Medium,Equipment Finance,Good,Central
TAC008432,26.57,3145.56,211.61,4.94,12.69,1.83,4.0,8.11,3,85.12,Healthcare,Micro,Working Capital,Good,West
TAC006196,11.37,413.05,311.21,4.62,0.5,0.97,4.0,6.86,7,139.74,Real Estate,Small,Equipment Finance,Excellent,North
TAC014638,1.0,501.98,75.44,8.66,11.11,2.09,5.0,5.8,2,163.58,Services,Medium,Term Loan,Good,West
TAC006000,14.06,3185.09,235.45,3.69,12.32,1.63,3.0,9.14,3,119.86,Infrastructure,Small,Term Loan,Excellent,East
TAC014385,20.14,3668.93,245.5,7.01,11.02,2.97,0.0,8.4,2,50.0,Infrastructure,Large,Term Loan,Good,North
TAC007593,32.08,3608.38,266.15,4.12,12.29,1.96,2.0,6.21,1,50.7,Real Estate,Small,Working Capital,Excellent,North
TAC001524,4.82,172.88,64.62,3.16,9.6,0.87,10.0,9.94,2,99.48,IT,Large,Equipment Finance,Good,North
TAC016693,1.0,363.32,70.62,1.33,6.07,2.19,12.0,9.67,3,180.22,Services,Medium,CC/OD,NPA,Central
TAC003890,26.07,3337.31,294.99,3.83,16.96,2.22,2.0,7.6,2,50.0,Manufacturing,Small,Term Loan,Good,North
TAC017995,14.31,912.29,140.48,3.73,11.96,0.66,12.0,7.26,3,142.7,Services,Small,Equipment Finance,Satisfactory,Central
TAC002828,17.91,3346.97,204.24,0.78,15.17,0.9,2.0,5.67,2,77.83,Manufacturing,Micro,Working Capital,Watchlist,North
TAC013116,22.44,888.04,237.83,6.81,1.29,0.37,3.0,6.33,5,135.42,FMCG,Small,Working Capital,Excellent,Central
TAC003037,15.45,691.37,92.26,4.03,8.24,1.0,7.0,10.0,1,263.94,Manufacturing,Large,Term Loan,Good,South
TAC008731,1.0,734.53,169.68,5.45,11.87,3.41,6.0,7.33,6,176.09,Retail,Small,Term Loan,Excellent,Central
TAC004999,30.82,3836.65,299.27,4.01,10.58,3.18,4.0,4.35,3,135.14,Real Estate,Medium,CC/OD,Excellent,North
TAC015278,1.0,364.72,198.7,4.82,10.76,2.29,11.0,7.91,3,66.63,Healthcare,Micro,Term Loan,Excellent,East
TAC006811,12.52,667.58,123.62,4.81,6.46,2.01,8.0,10.0,0,172.04,Services,Large,Project Finance,Good,East
TAC007797,6.04,460.32,141.54,5.19,6.89,1.85,10.0,7.14,4,282.92,Retail,Micro,Working Capital,Good,South
TAC002408,2.77,1.0,107.8,5.22,10.6,1.39,12.0,8.74,4,176.77,Real Estate,Small,Term Loan,Satisfactory,South
TAC013469,1.0,473.6,152.46,4.88,10.18,1.67,10.0,8.5,1,50.0,Infrastructure,Medium,Term Loan,Excellent,South
TAC013294,16.07,3305.12,205.0,5.18,9.07,2.87,0.0,7.27,3,168.34,Retail,Small,Term Loan,Watchlist,Central
TAC009651,18.24,639.92,138.18,3.94,14.53,2.48,12.0,9.19,0,197.48,Services,Small,Term Loan,Good,West
TAC004479,23.57,3264.71,212.28,3.41,11.42,0.54,0.0,8.1,4,68.33,Healthcare,Micro,Term Loan,Excellent,West
TAC015850,37.74,1719.64,18.03,7.37,6.03,1.41,3.0,4.68,8,104.1,Manufacturing,Medium,Project Finance,Watchlist,Central
TAC010830,12.21,673.64,108.9,4.66,12.38,1.66,5.0,9.17,0,123.76,Manufacturing,Medium,Term Loan,Excellent,South
TAC007162,13.1,468.98,116.13,4.52,5.95,2.29,9.0,5.49,4,153.89,FMCG,Micro,Working Capital,Satisfactory,North
TAC008653,17.56,445.52,132.49,6.03,11.19,2.66,11.0,9.21,4,243.14,Retail,Medium,Project Finance,Satisfactory,South
TAC011865,1.0,369.35,75.32,5.36,8.5,2.21,7.0,8.5,5,118.69,Manufacturing,Small,Term Loan,NPA,West
TAC016042,20.1,2142.98,30.14,5.65,3.36,0.3,0.0,6.97,4,196.66,Infrastructure,Medium,CC/OD,Satisfactory,North
TAC003595,20.15,3340.19,221.92,3.67,11.85,2.38,2.0,7.42,2,86.13,Retail,Large,Equipment Finance,NPA,North
TAC004494,27.83,3326.57,260.29,5.18,10.43,1.74,0.0,8.41,3,155.2,Manufacturing,Small,Project Finance,NPA,West
TAC018715,6.79,500.04,134.73,6.93,9.92,1.46,10.0,6.91,0,208.38,Services,Micro,Working Capital,,West
TAC016362,18.81,3357.71,289.24,4.33,10.02,1.63,0.0,10.0,0,138.43,Healthcare,Medium,Term Loan,Good,East
TAC015321,36.82,2195.61,0.1,7.03,7.0,2.5,3.0,6.24,2,58.84,Real Estate,Medium,Working Capital,Good,South
TAC002088,1.0,652.42,297.65,5.9,1.64,1.68,0.0,5.95,2,238.58,Services,Micro,Project Finance,Satisfactory,East
TAC013204,5.16,548.07,344.05,6.77,,0.76,,1.0,0,115.27,Infrastructure,Small,Term Loan,Excellent,East
TAC016150,1.0,448.89,128.8,2.36,12.09,1.4,9.0,8.99,2,221.84,IT,Large,Working Capital,Excellent,North
TAC000196,19.4,3019.21,192.42,5.19,6.91,0.87,3.0,5.23,1,175.96,Healthcare,Large,CC/OD,Excellent,West
TAC007870,1.0,474.04,90.64,4.32,9.26,1.66,11.0,9.84,0,141.41,Manufacturing,Micro,Equipment Finance,NPA,South
TAC017745,11.62,3695.3,235.09,3.5,10.87,1.08,0.0,7.54,2,97.99,Retail,Micro,Working Capital,Excellent,West
TAC000174,19.1,3535.25,230.04,,18.73,1.56,0.0,8.19,3,147.7,Manufacturing,Small,CC/OD,Satisfactory,North
TAC011878,4.96,582.29,88.92,4.5,10.07,2.22,6.0,7.82,2,219.44,Retail,Micro,CC/OD,Good,East
TAC011520,6.68,403.86,89.33,4.61,11.39,1.95,10.0,10.0,1,166.07,Real Estate,Large,Working Capital,Satisfactory,West
TAC003734,16.11,278.66,111.45,7.16,7.8,0.41,7.0,10.0,2,177.2,Real Estate,Medium,Term Loan,Satisfactory,East
TAC000785,27.92,767.48,298.16,6.07,4.85,1.89,1.0,6.56,6,300.0,Real Estate,Medium,Project Finance,Good,East
TAC017604,6.49,255.09,70.27,5.77,11.43,1.75,9.0,6.95,2,104.33,IT,Medium,CC/OD,Good,South
TAC006278,1.0,266.83,152.33,6.46,10.03,4.03,11.0,9.43,4,224.42,Retail,Medium,Equipment Finance,Excellent,West
TAC002212,30.28,3358.2,210.79,4.12,17.31,2.42,3.0,8.9,2,57.35,Infrastructure,Large,Working Capital,Excellent,East
TAC003910,1.0,418.08,150.95,7.61,7.82,2.25,9.0,7.68,3,112.81,Services,Micro,Working Capital,Excellent,South
TAC012345,1.0,552.4,126.89,7.96,11.94,1.51,7.0,5.61,2,147.69,IT,Micro,Equipment Finance,NPA,Central
TAC009565,1.0,628.76,143.72,6.75,14.14,1.68,10.0,6.47,2,260.68,Services,Small,Term Loan,Watchlist,West
TAC016468,3.53,454.61,78.42,6.0,6.24,0.99,7.0,7.68,1,124.62,Manufacturing,Large,Working Capital,Watchlist,South
TAC003015,15.77,1883.82,12.52,8.53,2.1,1.42,5.0,5.03,4,133.19,IT,Micro,Working Capital,NPA,South
TAC004741,26.92,815.53,51.63,6.4,4.92,2.71,3.0,6.19,4,111.95,IT,Small,Working Capital,Good,South
TAC000582,11.84,693.66,117.53,4.84,8.48,1.66,10.0,9.57,3,149.19,Infrastructure,Medium,Term Loan,Good,North
TAC005927,26.94,2077.22,12.11,5.41,6.93,0.85,,6.53,0,83.58,Manufacturing,Medium,Term Loan,Excellent,West
TAC006247,2.21,3577.43,201.91,5.94,13.96,1.29,2.0,5.86,5,103.81,Healthcare,Small,CC/OD,Satisfactory,East
TAC003601,17.0,3310.65,286.94,4.61,17.55,1.77,2.0,5.08,5,50.0,Healthcare,Small,CC/OD,Watchlist,East
TAC007562,26.0,813.78,27.15,5.41,9.26,2.76,3.0,5.18,2,132.12,Healthcare,Medium,Working Capital,Excellent,North
TAC015374,18.87,3460.18,238.96,3.46,8.24,3.27,1.0,4.96,4,100.56,Manufacturing,Small,Project Finance,Good,Central
TAC000272,23.52,2127.91,17.9,9.01,7.62,1.66,7.0,2.94,4,213.94,IT,Micro,Term Loan,NPA,West
TAC007524,20.81,414.14,288.92,3.47,6.45,0.3,6.0,2.56,4,253.72,Manufacturing,Medium,Equipment Finance,,West
TAC005536,20.53,642.91,313.18,6.97,6.62,1.29,,2.69,4,154.81,IT,Micro,Working Capital,Excellent,West
TAC014047,35.35,2036.59,0.1,9.01,8.1,1.49,6.0,7.05,0,188.33,Services,Medium,Term Loan,Good,East
TAC006975,1.0,360.1,191.94,5.67,3.4,1.43,12.0,9.06,2,116.27,Healthcare,Medium,Working Capital,Excellent,West
TAC000470,12.16,337.76,157.54,6.57,11.07,1.06,11.0,10.0,3,270.56,Services,Large,Project Finance,Watchlist,East
TAC014073,18.59,3558.07,219.94,4.73,11.84,2.94,0.0,10.0,4,50.0,Real Estate,Small,Term Loan,Good,North
